sampleId	popId	site	country	region	groupLabel	groupAge	flag	shapeA	colorA	latitude	longitude	callset	dataSource	age14C	ageHigh	ageLow	ageAverage	datingSource	coverage	sex	hgMT	gpAvg	ageRaw	clusterId	clusterIBDGlobal	clusterIBDFine
NA18486	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18488	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18489	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18498	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18499	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18501	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18502	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18504	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18505	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18507	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18508	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18510	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18511	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18516	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18517	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18519	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18520	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18522	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18523	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18853	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18856	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18858	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18861	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18864	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18865	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18867	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18868	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18870	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18871	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18873	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18874	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18876	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18877	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18878	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18879	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18881	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18907	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18908	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18909	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18910	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18912	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18915	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18916	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18917	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18923	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA18924	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18933	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA18934	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19092	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19093	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19095	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19096	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19098	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19099	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19102	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19107	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19108	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19113	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19114	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19116	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19117	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19118	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
